Start Vertex,End Vertex,Shortest Distance,Shortest Path
0,1,56,"[0, 1]"
0,2,63,"[0, 2]"
0,3,112,"[0, 9, 3]"
0,4,119,"[0, 4]"
0,5,136,"[0, 5]"
0,6,165,"[0, 4, 6]"
0,7,165,"[0, 4, 7]"
0,8,138,"[0, 9, 8]"
0,9,51,"[0, 9]"
0,10,63,"[0, 10]"
0,11,91,"[0, 11]"
0,12,133,"[0, 13, 12]"
0,13,130,"[0, 13]"
0,14,176,"[0, 14]"
1,0,56,"[1, 0]"
1,2,47,"[1, 2]"
1,3,84,"[1, 3]"
1,4,90,"[1, 4]"
1,5,123,"[1, 5]"
1,6,136,"[1, 4, 6]"
1,7,136,"[1, 4, 7]"
1,8,131,"[1, 10, 8]"
1,9,74,"[1, 9]"
1,10,42,"[1, 10]"
1,11,94,"[1, 11]"
1,12,93,"[1, 12]"
1,13,96,"[1, 12, 13]"
1,14,152,"[1, 12, 13, 14]"
2,0,63,"[2, 0]"
2,1,47,"[2, 1]"
2,3,61,"[2, 3]"
2,4,84,"[2, 4]"
2,5,99,"[2, 5]"
2,6,130,"[2, 4, 6]"
2,7,130,"[2, 4, 7]"
2,8,117,"[2, 8]"
2,9,82,"[2, 10, 9]"
2,10,42,"[2, 10]"
2,11,103,"[2, 10, 11]"
2,12,139,"[2, 4, 13, 12]"
2,13,136,"[2, 4, 13]"
2,14,157,"[2, 8, 14]"
3,0,112,"[3, 9, 0]"
3,1,84,"[3, 1]"
3,2,61,"[3, 2]"
3,4,38,"[3, 4]"
3,5,47,"[3, 5]"
3,6,82,"[3, 6]"
3,7,82,"[3, 7]"
3,8,95,"[3, 5, 8]"
3,9,61,"[3, 9]"
3,10,72,"[3, 10]"
3,11,43,"[3, 11]"
3,12,93,"[3, 5, 12]"
3,13,90,"[3, 4, 13]"
3,14,125,"[3, 14]"
4,0,119,"[4, 0]"
4,1,90,"[4, 1]"
4,2,84,"[4, 2]"
4,3,38,"[4, 3]"
4,5,39,"[4, 5]"
4,6,46,"[4, 6]"
4,7,46,"[4, 7]"
4,8,87,"[4, 5, 8]"
4,9,88,"[4, 9]"
4,10,75,"[4, 10]"
4,11,31,"[4, 11]"
4,12,55,"[4, 13, 12]"
4,13,52,"[4, 13]"
4,14,98,"[4, 14]"
5,0,136,"[5, 0]"
5,1,123,"[5, 1]"
5,2,99,"[5, 2]"
5,3,47,"[5, 3]"
5,4,39,"[5, 4]"
5,6,46,"[5, 6]"
5,7,46,"[5, 7]"
5,8,48,"[5, 8]"
5,9,108,"[5, 3, 9]"
5,10,113,"[5, 11, 10]"
5,11,52,"[5, 11]"
5,12,46,"[5, 12]"
