Objekt ID,Koordinate Anfang,Koordinate Ende,Laenge
Punkte_ID25,(60.0; 363.0),,
Punkte_ID26,(39.0; 158.0),,
Punkte_ID27,(178.0; 162.0),,
Punkte_ID28,(79.0; 75.0),,
Punkte_ID29,(271.0; 51.0),,
Punkte_ID30,(342.0; 171.0),,
Punkte_ID31,(471.0; 50.0),,
Punkte_ID32,(477.0; 189.0),,
Punkte_ID33,(480.0; 207.0),,
Punkte_ID34,(516.0; 169.0),,
Punkte_ID35,(623.0; 60.0),,
Punkte_ID36,(480.0; 368.0),,
Punkte_ID37,(637.0; 340.0),,
Punkte_ID38,(255.0; 327.0),,
Line_ID1,(83.0; 78.0),(186.0; 167.0),136.12
Line_ID2,(186.0; 167.0),(279.0; 54.0),146.35
Line_ID3,(279.0; 54.0),(85.0; 81.0),195.87
Line_ID4,(85.0; 81.0),(43.0; 167.0),95.71
Line_ID5,(43.0; 167.0),(185.0; 165.0),142.01
Line_ID6,(185.0; 165.0),(350.0; 181.0),165.77
Line_ID7,(350.0; 181.0),(275.0; 51.0),150.08
Line_ID8,(278.0; 55.0),(472.0; 57.0),194.01
Line_ID9,(472.0; 57.0),(348.0; 177.0),172.56
Line_ID10,(348.0; 177.0),(482.0; 199.0),135.79
Line_ID11,(482.0; 199.0),(474.0; 56.0),143.22
Line_ID12,(474.0; 56.0),(632.0; 65.0),158.26
Line_ID13,(632.0; 65.0),(517.0; 174.0),158.45
Line_ID14,(517.0; 174.0),(482.0; 195.0),40.82
Line_ID15,(476.0; 59.0),(518.0; 171.0),119.62
Line_ID16,(518.0; 171.0),(643.0; 349.0),217.51
Line_ID17,(643.0; 349.0),(629.0; 66.0),283.35
Line_ID18,(642.0; 347.0),(484.0; 373.0),160.12
Line_ID19,(484.0; 373.0),(486.0; 210.0),163.01
Line_ID20,(486.0; 210.0),(521.0; 173.0),50.93
Line_ID21,(482.0; 212.0),(258.0; 335.0),255.55
Line_ID22,(258.0; 335.0),(64.0; 370.0),197.13
Line_ID23,(64.0; 370.0),(46.0; 165.0),205.79
Line_ID24,(182.0; 167.0),(65.0; 368.0),232.57
